recipe_shrt_name,recipe_id,preparation_time,preparation_time_unit,cook_time,cook_time_unit,total_time,total_time_unit,cuisine,course,diet,difficulty_level,rating,nutrition,URL
Aloo Chana Chaat,recid_aloo_chana_chaat,30,min,20,min,50,min,Indian,Snacks,Vegetarian,Moderate,4.6,Calories 120,https://www.vegrecipesofindia.com/aloo-chana-chaat-recipe/
Badam Halwa,recid_badam_halwa,45,min,20,min,65,min,Indian,Desserts,"Gluten Free, Vegetarian",Moderate,4.93,Calories 467,https://www.vegrecipesofindia.com/almond-halwa-badam-halwa-recipe/
Badam Kheer,recid_badam_kheer,30,min,20,min,50,min,Indian,Desserts,,,4.67,Calories 218,https://www.vegrecipesofindia.com/badam-kheer-recipe/
Badam Laddoo,recid_badam_laddoo,1,min,9,min,10,min,North Indian,Sweets,,,4.64,Calories 106,https://www.vegrecipesofindia.com/badam-ladoo-recipe/
Badam Milk,recid_badam_milk,35,min,5,min,40,min,"Mughlai, North Indian",Beverages,,,5,Calories 246,https://www.vegrecipesofindia.com/badam-milk-recipe/
Baked Aloo Samosa,recid_baked_aloo_samosa,35,min,35,min,70,min,"North Indian, Punjabi",Snacks,,,4.89,Calories 114,https://www.vegrecipesofindia.com/baked-samosa-recipe/
Black Chickpeas Chaat,recid_black_chickpeas_chaat,10,min,20,min,30,min,Indian,Snacks,"Gluten Free, Vegan",Easy,4.75,Calories 213,https://www.vegrecipesofindia.com/kala-chana-chaat/
Butter Naan,recid_butter_naan,10,min,30,min,40,min,North Indian,Main Course,,,5,Calories 144,https://www.vegrecipesofindia.com/butter-naan-recipe-whole-wheat-butter-naan/
Butter Rava Dosa,recid_butter_rava_dosa,5,min,25,min,30,min,South Indian,Breakfast,Vegan,Easy,4.94,Calories 102,https://www.vegrecipesofindia.com/instant-butter-rava-dosa-recipe/
Cashew Pulao,recid_cashew_pulao,30,min,10,min,40,min,North Indian,Main Course,"Gluten Free, Vegetarian",Moderate,5,Calories 623,https://www.vegrecipesofindia.com/kaju-pulao-recipe-cashew-pulao/
Chana Biryani,recid_chana_biryani,45,min,30,min,75,min,"Hyderabadi, South Indian",Main Course,Vegetarian,Moderate,4.88,Calories 662,https://www.vegrecipesofindia.com/chole-biryani-recipe-chana-biryani/
Chana Pulao,recid_chana_pulao,20,min,30,min,50,min,North Indian,Main Course,Vegetarian,Moderate,,,https://www.vegrecipesofindia.com/chana-pulao/
Chana Sundal,recid_chana_sundal,5,min,30,min,35,min,"South Indian, Tamil Nadu","Side Dish, Snacks",Vegan,Moderate,5,Calories 120,https://www.vegrecipesofindia.com/chana-sundal/
Curd Rice,recid_curd_rice,15,min,5,min,20,min,"South Indian, Tamil Nadu","Main Course, Side Dish",,,4.98,Calories 230,https://www.vegrecipesofindia.com/curd-rice-how-to-make-curd-rice-thayir-sadam-bagala-bath/
Dry Fruits Burfi,recid_dry_fruits_burfi,20,min,5,min,25,min,North Indian,Sweets,,,4.91,Calories 99,https://www.vegrecipesofindia.com/dry-fruit-barfi-recipe/
Ghee Rice,recid_ghee_rice,30,min,20,min,50,min,South Indian,Main Course,"Gluten Free, Vegetarian",Easy,4.96,Calories 619,https://www.vegrecipesofindia.com/ghee-rice-recipe-rice-recipes/
Gulgule,recid_gulgule,5,min,20,min,25,min,Punjabi,Breakfast,Vegan,Easy,5,Calories 255,https://www.vegrecipesofindia.com/gulgule-recipe/
Hummus,recid_hummus,5,min,25,min,30,min,"Lebanese, World","Appetizers, Side Dish, Starters",Vegan,Easy,4.92,Calories 77,https://www.vegrecipesofindia.com/hummus-recipe/
